timestamp,player_index,packets_received,packets_sent,x,y,is_it
177877,0,8385,8385,241.417,695.859,0
177877,1,7922,7922,96.1268,471.264,1
177940,0,8387,8387,241.417,695.859,0
177940,1,7924,7924,96.1268,471.264,1
178003,0,8389,8389,241.417,695.859,0
178003,1,7926,7926,96.1268,471.264,1
178067,0,8392,8392,241.417,695.859,0
178067,1,7929,7929,96.1268,471.264,1
178130,0,8394,8394,241.417,695.859,0
178130,1,7931,7931,96.1268,471.264,1
178188,0,8396,8396,241.417,695.859,0
178188,1,7933,7933,96.1268,471.264,1
178250,0,8398,8398,241.417,695.859,0
178250,1,7935,7935,96.1268,471.264,1
178316,0,8398,8398,241.417,695.859,0
178316,1,7936,7936,96.1268,471.264,1
178376,0,8402,8402,241.417,695.859,0
178376,1,7939,7939,96.1268,471.264,1
178439,0,8404,8404,241.417,695.859,0
178439,1,7941,7941,96.1268,471.264,1
178501,0,8406,8406,241.417,695.859,0
178501,1,7943,7943,96.1268,471.264,1
178563,0,8408,8408,241.417,695.859,0
178563,1,7945,7945,96.1268,471.264,1
178628,0,8411,8411,241.417,695.859,0
178628,1,7948,7948,96.1268,471.264,1
178690,0,8413,8413,241.417,695.859,0
178690,1,7950,7950,96.1268,471.264,1
178755,0,8415,8415,241.417,695.859,0
178755,1,7952,7952,96.1268,471.264,1
178807,0,8417,8417,241.417,695.859,0
178807,1,7954,7954,96.1268,471.264,1
178870,0,8419,8419,241.417,695.859,0
178870,1,7956,7956,96.1268,471.264,1
178933,0,8422,8422,241.417,695.859,0
178933,1,7959,7959,96.1268,471.264,1
179025,0,8425,8425,241.417,695.859,0
179025,1,7962,7962,96.1268,471.264,1
179088,0,8427,8427,241.417,695.859,0
179088,1,7964,7964,96.1268,471.264,1
179150,0,8429,8429,241.417,695.859,0
179150,1,7966,7966,96.1268,471.264,1
179212,0,8431,8431,241.417,695.859,0
179212,1,7968,7968,96.1268,471.264,1
179277,0,8433,8433,241.417,695.859,0
179277,1,7970,7970,96.1268,471.264,1
179337,0,8435,8435,241.417,695.859,0
179337,1,7972,7972,96.1268,471.264,1
179389,0,8437,8437,241.417,695.859,0
179389,1,7974,7974,96.1268,471.264,1
179453,0,8439,8439,241.417,695.859,0
179453,1,7976,7976,96.1268,471.264,1
179518,0,8441,8441,241.417,695.859,0
179518,1,7979,7979,96.1268,471.264,1
179585,0,8443,8443,241.417,695.859,0
179585,1,7981,7981,96.1268,471.264,1
179643,0,8445,8445,241.417,695.859,0
179643,1,7983,7983,96.1268,471.264,1
179707,0,8447,8447,241.417,695.859,0
179707,1,7985,7985,96.1268,471.264,1
179764,0,8449,8449,241.417,695.859,0
179764,1,7988,7988,96.1268,471.264,1
179827,0,8451,8451,241.417,695.859,0
179827,1,7990,7990,96.1268,471.264,1
179879,0,8454,8454,241.417,695.859,0
179879,1,7992,7992,96.1268,471.264,1
179941,0,8456,8456,241.417,695.859,0
179941,1,7994,7994,96.1268,471.264,1
180004,0,8458,8458,241.417,695.859,0
180004,1,7996,7996,96.1268,471.264,1
180066,0,8460,8460,241.417,695.859,0
180066,1,7998,7998,96.1268,471.264,1
180119,0,8461,8461,241.417,695.859,0
180119,1,8000,8000,96.1268,471.264,1
180182,0,8464,8464,241.417,695.859,0
180182,1,8003,8003,96.1268,471.264,1
180245,0,8466,8466,241.417,695.859,0
180245,1,8005,8005,96.1268,471.264,1
180300,0,8468,8468,241.417,695.859,0
180300,1,8007,8007,96.1268,471.264,1
180391,0,8471,8471,241.417,695.859,0
180391,1,8010,8010,96.1268,471.264,1
180445,0,8474,8474,241.417,695.859,0
180445,1,8012,8012,96.1268,471.264,1
180510,0,8476,8476,241.417,695.859,0
180510,1,8014,8014,96.1268,471.264,1
180561,0,8478,8478,241.417,695.859,0
180561,1,8016,8016,96.1268,471.264,1
180626,0,8481,8481,241.417,695.859,0
180626,1,8018,8018,96.1268,471.264,1
180689,0,8483,8483,241.417,695.859,0
180689,1,8020,8020,96.1268,471.264,1
180750,0,8485,8485,241.417,695.859,0
180750,1,8022,8022,96.1268,471.264,1
180842,0,8487,8487,241.417,695.859,0
180842,1,8025,8025,96.1268,471.264,1
180907,0,8490,8490,241.417,695.859,0
180907,1,8028,8028,96.1268,471.264,1
180970,0,8492,8492,241.417,695.859,0
180970,1,8030,8030,96.1268,471.264,1
181032,0,8494,8494,241.417,695.859,0
181032,1,8032,8032,96.1268,471.264,1
181095,0,8496,8496,241.417,695.859,0
181095,1,8034,8034,96.1268,471.264,1
181156,0,8498,8498,241.417,695.859,0
181156,1,8036,8036,96.1268,471.264,1
181218,0,8500,8500,241.417,695.859,0
181218,1,8038,8038,96.1268,471.264,1
181281,0,8502,8502,241.417,695.859,0
181281,1,8040,8040,96.1268,471.264,1
181343,0,8504,8504,241.417,695.859,0
181343,1,8042,8042,96.1268,471.264,1
181407,0,8507,8507,241.417,695.859,0
181407,1,8045,8045,96.1268,471.264,1
181470,0,8509,8509,241.417,695.859,0
181470,1,8047,8047,96.1268,471.264,1
181520,0,8511,8511,241.417,695.859,0
181520,1,8049,8049,96.1268,471.264,1
181582,0,8513,8513,241.417,695.859,0
181582,1,8051,8051,96.1268,471.264,1
